biomass     C:\Users\jpw\OneDrive\Masters 2020-2022\Main Project\Ogmap2 - Demo
Using bandwidths  [ 0.622, 20.2, 1.05 ] 
Year Estimate Mass50 LowCIprob UpCIprob LowCIval UpCIval LRP USR ProbLRP ProbUSR Gini
2166 158 47.7 0.025 0.975 138 179 na na na na na 
2167 159 47.9 0.025 0.975 134 187 na na na na na 
2168 148 46.5 0.025 0.975 128 171 na na na na na 
2169 134 48.5 0.025 0.975 114 153 na na na na na 
2170 136 47.8 0.025 0.975 118 156 na na na na na 
2171 137 47.7 0.025 0.975 115 162 na na na na na 
2172 161 47.9 0.025 0.975 134 188 na na na na na 
2173 150 47.4 0.025 0.975 130 169 na na na na na 
2174 127 47.1 0.025 0.975 108 148 na na na na na 
2175 128 48.2 0.025 0.975 110 148 na na na na na 
2176 130 48.9 0.025 0.975 112 149 na na na na na 
2177 154 48.6 0.025 0.975 131 178 na na na na na 
2178 144 46.6 0.025 0.975 123 166 na na na na na 
2179 130 47.7 0.025 0.975 110 153 na na na na na 
2180 116 48.6 0.025 0.975 100 133 na na na na na 
2181 152 47.8 0.025 0.975 131 172 na na na na na 
2182 137 47.8 0.025 0.975 119 157 na na na na na 
2183 137 47.9 0.025 0.975 120 154 na na na na na 
2184 144 47.6 0.025 0.975 119 171 na na na na na 
2185 136 47.7 0.025 0.975 119 156 na na na na na 
2186 125 48.1 0.025 0.975 105 145 na na na na na 
2187 152 46.8 0.025 0.975 132 172 na na na na na 
2188 132 48.1 0.025 0.975 113 151 na na na na na 
2189 140 47.4 0.025 0.975 119 164 na na na na na 
2190 113 48.7 0.025 0.975 99 130 na na na na na 
2191 115 48.5 0.025 0.975 95.5 134 na na na na na 
2192 147 48.5 0.025 0.975 129 166 na na na na na 
2193 133 47.3 0.025 0.975 113 155 na na na na na 
2194 126 47.1 0.025 0.975 108 145 na na na na na 
2195 144 48.3 0.025 0.975 123 168 na na na na na 
2196 135 48.2 0.025 0.975 116 154 na na na na na 
2197 136 48.1 0.025 0.975 117 156 na na na na na 
2198 135 47.8 0.025 0.975 117 155 na na na na na 
2199 143 46.2 0.025 0.975 117 168 na na na na na 
2200 112 48.1 0.025 0.975 96.3 129 na na na na na 
2201 128 45.2 0.025 0.975 110 147 na na na na na 
